free_text,address,price,price_meter,rooms,area,more,add_link,scraping_date
Mieszkanie z balkonem i strychem - ul. Kiemliczów,"Mieszkanie na sprzedaż: Gutkowo, Olsztyn, warmińsko-mazurskie",560 000 zł,7000 zł/m²,3 pokoje,80 m²,Inwestycja deweloperska,/pl/oferta/mieszkanie-z-balkonem-i-strychem-ul-kiemliczow-ID4o6w0,01/16/24
Bianco | mieszkanie 4 pok. M12,"Mieszkanie na sprzedaż: ul. Kardynała Stefana Wyszyńskiego, Kormoran, Olsztyn, warmińsko-mazurskie",708 000 zł,7882 zł/m²,4 pokoje,"89,82 m²",Inwestycja deweloperska,/pl/oferta/bianco-mieszkanie-4-pok-m12-ID4jWDR,01/16/24
Apartamenty Wyzwolenia | apartament nr 75,"Mieszkanie na sprzedaż: ul. Wyzwolenia, Śródmieście, Olsztyn, warmińsko-mazurskie",388 608 zł,12 800 zł/m²,1 pokój,"30,36 m²",Inwestycja deweloperska,/pl/oferta/apartamenty-wyzwolenia-apartament-nr-75-ID4chIq,01/16/24
"Apartament - 39,11 m2 - Miła Resort","Mieszkanie na sprzedaż: ul. Sielska, Dajtki, Olsztyn, warmińsko-mazurskie",391 061 zł,9999 zł/m²,1 pokój,"39,11 m²",Biuro nieruchomości,/pl/oferta/apartament-39-11-m2-mila-resort-ID4omoU,01/16/24
"Apartament 2 pokoje 50,11m2-Miła Resort","Mieszkanie na sprzedaż: ul. Sielska, Dajtki, Olsztyn, warmińsko-mazurskie",450 940 zł,8999 zł/m²,2 pokoje,"50,11 m²",Biuro nieruchomości,/pl/oferta/apartament-2-pokoje-50-11m2-mila-resort-ID4omoT,01/16/24
"Apartament - 42,04 m2 - Miła Resort","Mieszkanie na sprzedaż: ul. Sielska, Dajtki, Olsztyn, warmińsko-mazurskie",378 318 zł,8999 zł/m²,2 pokoje,"42,04 m²",Biuro nieruchomości,/pl/oferta/apartament-42-04-m2-mila-resort-ID4omoS,01/16/24
"Apartament - dwa pokoje - 41,75 m2 - Miła Resort","Mieszkanie na sprzedaż: ul. Sielska, Dajtki, Olsztyn, warmińsko-mazurskie",375 708 zł,8999 zł/m²,2 pokoje,"41,75 m²",Biuro nieruchomości,/pl/oferta/apartament-dwa-pokoje-41-75-m2-mila-resort-ID4omoM,01/16/24
"Apartament z antresolą - 105,17 m2 - Miła Resort","Mieszkanie na sprzedaż: ul. Sielska, Dajtki, Olsztyn, warmińsko-mazurskie","946 424,83 zł",8999 zł/m²,2 pokoje,"105,17 m²",Biuro nieruchomości,/pl/oferta/apartament-z-antresola-105-17-m2-mila-resort-ID4omoN,01/16/24
"Apartament 2 pokoje 67,94m2 - Miła Resort","Mieszkanie na sprzedaż: ul. Sielska, Dajtki, Olsztyn, warmińsko-mazurskie",679 332 zł,9999 zł/m²,2 pokoje,"67,94 m²",Biuro nieruchomości,/pl/oferta/apartament-2-pokoje-67-94m2-mila-resort-ID4omoQ,01/16/24
"Apartament - 37,87 m2 - Miła Resort","Mieszkanie na sprzedaż: ul. Sielska, Dajtki, Olsztyn, warmińsko-mazurskie",378 662 zł,9999 zł/m²,1 pokój,"37,87 m²",Biuro nieruchomości,/pl/oferta/apartament-37-87-m2-mila-resort-ID4omoO,01/16/24
"Apartament - trzypokojowy - 64,46 m2 - Miła Resort","Mieszkanie na sprzedaż: ul. Sielska, Dajtki, Olsztyn, warmińsko-mazurskie",644 536 zł,9999 zł/m²,3 pokoje,"64,46 m²",Biuro nieruchomości,/pl/oferta/apartament-trzypokojowy-64-46-m2-mila-resort-ID4omoL,01/16/24
